openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
351,oob,0.1,3,3,10,0,4.5,14.0,57.8,0.1726099999999999,0.04166,0.13834,0.0093119999999999,4837741.0200000005,419644.4,97239.8
354,oob,0.001,100,100,100000,0,4.375,4182.75,2.0,0.298525,0.2905375,0.0033125,0.000325,3642260100.1875,449052230.1375,64975770.337500006
354,oob,0.01,100,100,100,0,4.375,280.0,4.625,0.32375,0.2931875,0.0285375,0.002975,243696382.125,30003518.0,4343839.75
354,oob,0.1,3,3,10,0,4.375,14.0,58.375,0.4775,0.3360375,0.1822875,0.045825,12183671.85,1500219.35,217211.75
357,oob,0.001,100,100,100000,0,4.222222222222222,3399.0,2.0,0.2084777777777778,0.2054111111111111,0.0017888888888888,5.888888888888889e-05,3561266347.1000004,32787503.1,4810449.6
357,oob,0.01,100,100,100,0,4.222222222222222,240.0,4.444444444444445,0.2272555555555555,0.2064666666666667,0.0205666666666666,0.0011144444444444,251460474.66666663,2315040.0,339661.3333333333
357,oob,0.1,3,3,10,0,4.222222222222222,13.11111111111111,58.0,0.3611333333333333,0.2283,0.1544444444444444,0.0229477777777777,13737330.28888889,126487.77777777778,18555.4
389,oob,0.001,100,100,100000,0,4.5,4643.1,2.0,0.33425,0.33365,0.0035,-0.000163,37057331.52,6042292.74,456551.37
389,oob,0.01,100,100,100,0,4.5,287.0,4.2,0.36279,0.33571,0.03204,0.001897,2290554.8,373246.2,28219.0
389,oob,0.1,3,3,10,0,4.5,14.0,57.7,0.53117,0.37914,0.20042,0.045327,111750.66,18207.56,1376.48
390,oob,0.001,100,100,100000,0,4.5,5524.2,2.2,0.4340499999999999,0.42033,0.00442,9.8e-05,1266140400.03,538761495.6899999,4382875.529999999
390,oob,0.01,100,100,100,0,4.5,320.0,4.5,0.4678099999999999,0.42306,0.03818,0.002828,73333135.3,31207981.8,254026.6
390,oob,0.1,3,3,10,0,4.5,14.4,57.7,0.65511,0.48545,0.2254799999999999,0.065218,3299604.7,1403217.58,11421.96
391,oob,0.001,100,100,100000,0,4.5,4405.5,2.0,0.30806,0.30489,0.00358,8.000000000000002e-05,23155249.59,4483466.46,288621.63
391,oob,0.01,100,100,100,0,4.5,283.0,4.7,0.33536,0.30691,0.03088,0.0021,1486703.3,288035.4,18536.3
391,oob,0.1,3,3,10,0,4.5,14.2,58.6,0.4915,0.34567,0.18702,0.04086,74581.1,14452.66,930.1
392,oob,0.001,100,100,100000,0,4.0,5049.0,2.333333333333333,0.2664222222222222,0.2639,0.0039666666666666,4.888888888888888e-05,20267668.3,3974998.5,241705.2
392,oob,0.01,100,100,100,0,4.0,298.8888888888889,4.888888888888889,0.2974555555555556,0.2663555555555555,0.035,0.0025044444444444,1198690.0,235236.66666666663,14306.444444444443
392,oob,0.1,3,3,10,0,4.0,13.555555555555555,58.22222222222222,0.4776,0.3174555555555555,0.2151444444444444,0.0536044444444444,54341.64444444444,10663.422222222223,648.7555555555556
393,oob,0.001,100,100,100000,0,4.5,5058.9,2.2,0.2803799999999999,0.27498,0.0039,0.0002239999999999,164732387.49,60858146.25,606246.3
393,oob,0.01,100,100,100,0,4.5,303.0,4.5,0.31087,0.27746,0.03439,0.002704,9864691.4,3681604.3,36478.9
393,oob,0.1,3,3,10,0,4.5,14.0,59.1,0.48753,0.3272199999999999,0.21105,0.052464,455928.34,168982.52,1680.0
395,oob,0.001,100,100,100000,0,4.5,4425.3,2.0,0.33775,0.3275,0.0038,-1.5000000000000007e-05,34680475.17,7121710.529999999,383101.29
395,oob,0.01,100,100,100,0,4.5,297.0,4.4,0.36631,0.33098,0.03236,0.003465,2326640.7,477659.9,25726.2
395,oob,0.1,3,3,10,0,4.5,14.2,58.6,0.52947,0.38122,0.19552,0.053705,111235.1,22821.54,1230.2
396,oob,0.001,100,100,100000,0,4.444444444444445,4763.0,2.0,0.2901666666666667,0.2765888888888889,0.0038222222222222,1.0000000000000004e-05,180675542.3,60960044.2,565678.3
396,oob,0.01,100,100,100,0,4.444444444444445,295.55555555555554,4.333333333333333,0.3197111111111111,0.2789444444444444,0.0333666666666666,0.0023655555555555,11217014.0,3786422.777777778,35101.11111111111
396,oob,0.1,3,3,10,0,4.444444444444445,14.22222222222222,57.66666666666666,0.4894222222222222,0.3285111111111111,0.2030777777777778,0.0519322222222222,539806.8888888889,182814.6,1690.0666666666666
398,oob,0.001,100,100,100000,0,4.5,4860.9,2.2,0.38877,0.37964,0.00396,0.0002749999999999,64601615.42999999,15371844.84,411498.45
398,oob,0.01,100,100,100,0,4.5,299.0,4.7,0.4181899999999999,0.38176,0.03338,0.002395,3974211.2,945996.4,25297.5
398,oob,0.1,3,3,10,0,4.5,14.4,58.8,0.5873999999999999,0.43459,0.20259,0.055225,191309.36,45573.94,1217.7
