openmlid,target_type,epsilon,w_min,delta,c,bootstrap_repeats,seed,num_trees,reasoning_time_per_tree_in_ns,score_oob,score_val,gap_oob,gap_val,time_train,time_pred,time_score
42572,oob,0.001,100,100,1000,0,4.5,1380.0,12.5,0.0612971,0.0583361999999999,0.001639,3.8e-05,1540848834.8,20109713.2,197855.3
42572,oob,0.01,10,10,100,0,4.5,99.0,14.8,0.0712775,0.0589231999999999,0.011619,0.000624,110482180.29,1432448.1,14191.920000000002
42572,oob,0.1,2,2,10,0,4.5,6.1,126.6,0.1340122,0.0729532,0.074356,0.014654,6812272.860000001,88957.31000000001,874.51
42688,oob,0.001,100,100,1000,0,4.5,101.0,5.1,0.0001224,0.0009249,7.000000000000001e-06,1.3e-05,3568039.8,90489.3,14204.9
42688,oob,0.01,10,10,100,0,4.5,18.0,18.9,0.0001387999999999,0.0009159,2.3e-05,2.9999999999999984e-06,636058.62,16128.179999999998,2530.62
42688,oob,0.1,2,2,10,0,4.5,2.0,159.4,0.0001859,0.0010187999999999,7.1e-05,0.000106,70673.18000000001,1792.02,281.18
42724,oob,0.001,100,100,1000,0,4.5,1329.0,12.0,0.0128141,0.0111468,0.001483,1.1e-05,1300611792.2,5844732.7,491355.8
42724,oob,0.01,10,10,100,0,4.5,99.0,14.7,0.0220824999999999,0.0113262,0.010751,0.000193,96884538.3,435312.9,36595.35
42724,oob,0.1,2,2,10,0,4.5,6.0,128.7,0.087724,0.019443,0.076392,0.008308,5871790.2,26382.6,2217.9
42726,oob,0.001,100,100,1000,0,4.5,779.0,11.9,0.0077772,0.0070944999999999,0.000759,6.999999999999999e-06,7367676.9,354630.7,73548.4
42726,oob,0.01,10,10,100,0,4.5,59.4,16.4,0.0130953999999999,0.007188,0.006076,0.000102,561799.62,27042.93,5603.49
42726,oob,0.1,2,2,10,0,4.5,3.9,135.7,0.0479515,0.0132505,0.040933,0.006163,36885.36,1775.7400000000002,368.01
42727,oob,0.001,100,100,1000,0,4.5,1331.0,12.2,0.0339089,0.0318009,0.001401,-3.0000000000000005e-06,718270998.1,44544415.3,227832.9
42727,oob,0.01,10,10,100,0,4.5,97.2,14.7,0.0435959,0.032185,0.01109,0.000382,52459853.4,3261629.97,16639.2
42727,oob,0.1,2,2,10,0,4.5,6.5,125.0,0.1073412,0.0413642,0.074835,0.009562,3505714.15,215758.07,1110.92
42729,oob,0.001,100,100,1000,0,4.5,351.0,10.4,0.0034549999999999,0.0031174,0.0002929999999999,1.0000000000000002e-06,4711893017.2,127934693.1,1494150.3
42729,oob,0.01,10,10,100,0,4.5,27.0,18.5,0.0054111,0.003212,0.00225,9.9e-05,362450185.65,9841523.49,114930.63
42729,oob,0.1,2,2,10,0,4.5,2.0,159.7,0.0154898,0.0063526,0.012329,0.003241,26848161.9,729001.74,8513.380000000001
42730,oob,0.001,100,100,1000,0,4.5,753.0,11.6,0.0199166,0.0197272,0.000763,-2.4000000000000004e-05,36285761.0,330438.2,60624.4
42730,oob,0.01,10,10,100,0,4.5,57.6,16.6,0.0250097,0.0199983,0.005856,0.000245,2774344.41,25283.25,4636.35
42730,oob,0.1,2,2,10,0,4.5,3.6,139.4,0.0570754,0.0286205,0.037922,0.008871,173397.78,1579.37,290.01
42731,oob,0.001,100,100,1000,0,4.5,1153.0,12.0,0.0077616,0.0061513,0.001267,1.4e-05,146744010.4,2587763.2,263560.8
42731,oob,0.01,10,10,100,0,4.5,81.0,15.0,0.0161678,0.0063281,0.009673,0.0001889999999999,10308977.73,181793.97,18519.84
